match_id,tournament,round,year,player_name,opponent_name,opponent_move,response_shot,opponent_area,opponent_zone,response_area,response_zone,aroundhead,backhand,hit_height,rally_length,stroke_index,score_responder,score_opponent,score_diff,pressure,rally_continues,responder_wins_rally,outcome_label,n_qualifying_players,n_players_using,pct_players_using,avg_freq_pct,avg_winrate_pct,optimal_flag
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,Akane YAMAGUCHI,An Se Young,drop,lob,6,opp_mid_center,3,opp_back_right,0,1,high,10,2,1,0,1,medium,1,1.0,rally_continues,35.0,33.0,94.3,22.0,47.9,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,An Se Young,Akane YAMAGUCHI,lob,drop,3,opp_back_right,1,opp_back_left,0,0,low,10,3,0,1,-1,medium,1,0.0,rally_continues,35.0,35.0,100.0,23.4,50.2,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,Akane YAMAGUCHI,An Se Young,drop,lob,1,opp_back_left,4,opp_back_right,0,0,high,10,4,1,0,1,medium,1,1.0,rally_continues,35.0,33.0,94.3,22.0,47.9,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,An Se Young,Akane YAMAGUCHI,lob,drop,4,opp_back_right,1,opp_back_left,0,0,low,10,5,0,1,-1,medium,1,0.0,rally_continues,35.0,35.0,100.0,23.4,50.2,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,Akane YAMAGUCHI,An Se Young,drop,net shot,1,opp_back_left,2,opp_back_center,0,0,high,10,6,1,0,1,medium,1,1.0,rally_continues,35.0,35.0,100.0,56.3,44.2,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,An Se Young,Akane YAMAGUCHI,net shot,lob,2,opp_back_center,8,opp_mid_right,0,1,high,10,7,0,1,-1,medium,1,0.0,rally_continues,35.0,35.0,100.0,53.2,47.7,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,Akane YAMAGUCHI,An Se Young,lob,smash,8,opp_mid_right,5,opp_mid_left,0,0,low,10,8,1,0,1,medium,1,1.0,rally_continues,35.0,35.0,100.0,27.6,54.0,1.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,An Se Young,Akane YAMAGUCHI,smash,return net,5,opp_mid_left,7,opp_mid_right,0,0,high,10,9,0,1,-1,medium,0,0.0,point_lost,35.0,35.0,100.0,84.4,44.3,1.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,Akane YAMAGUCHI,An Se Young,clear,drop,3,opp_back_right,2,opp_back_center,0,0,low,14,2,1,1,0,medium,1,0.0,rally_continues,35.0,34.0,97.1,27.1,48.7,0.0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022.0,An Se Young,Akane YAMAGUCHI,drop,lob,2,opp_back_center,3,opp_back_right,0,1,high,14,3,1,1,0,medium,1,1.0,rally_continues,35.0,33.0,94.3,22.0,47.9,0.0
