match_id,opponent_move,response,opp_landing_zone,resp_player_zone,score_A_before,score_B_before,rally_length_so_far,resp_aroundhead,resp_backhand,freq_feature,winrate_feature,n_samples_seen,won_rally
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,mid,back,0,1,2,False,True,0.24619199433227063,0.4790049542739968,695.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,drop,front,back,0,1,3,False,False,0.23560686617043902,0.5047128823051131,1551.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,front,back,0,1,4,False,False,0.24619199433227063,0.4790049542739968,695.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,drop,mid,back,0,1,5,False,False,0.23560686617043902,0.5047128823051131,1551.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,net shot,front,mid,0,1,6,False,False,0.5501239815798795,0.46115658006029187,1553.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,net shot,lob,front,front,0,1,7,False,True,0.5340630851217053,0.4967648968003878,3708.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,smash,back,back,0,1,8,False,False,0.2650767127449491,0.5411252123237541,1745.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,smash,return net,mid,back,0,1,9,False,False,0.8449304174950298,0.4555247951543078,2125.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,drop,front,front,1,1,2,False,False,0.27575757575757576,0.530397930630572,1001.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,front,back,1,1,3,False,True,0.24619199433227063,0.4790049542739968,695.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,clear,front,back,1,1,4,False,False,0.2719125018988303,0.44951821257053026,1790.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,drop,mid,back,1,1,5,False,False,0.27575757575757576,0.530397930630572,1001.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,front,back,1,1,6,False,False,0.24619199433227063,0.4790049542739968,695.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,clear,front,back,1,1,7,False,False,0.2719125018988303,0.44951821257053026,1790.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,clear,back,back,1,1,8,True,False,0.30275482093663914,0.49181714319628467,1099.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,drop,front,front,1,1,9,False,False,0.27575757575757576,0.530397930630572,1001.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,front,back,1,1,10,False,False,0.24619199433227063,0.4790049542739968,695.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,clear,mid,back,1,1,11,False,False,0.2719125018988303,0.44951821257053026,1790.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,drop,mid,back,1,1,12,False,True,0.27575757575757576,0.530397930630572,1001.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,net shot,front,mid,1,1,13,False,False,0.5501239815798795,0.46115658006029187,1553.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,net shot,mid,back,1,3,2,False,False,0.5501239815798795,0.46115658006029187,1553.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,net shot,lob,front,back,1,3,3,False,True,0.5340630851217053,0.4967648968003878,3708.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,clear,back,back,1,3,4,True,False,0.2719125018988303,0.44951821257053026,1790.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,mid,back,1,4,2,False,False,0.24619199433227063,0.4790049542739968,695.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,clear,mid,back,1,4,3,True,False,0.2719125018988303,0.44951821257053026,1790.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,clear,drop,back,back,1,4,4,False,False,0.27575757575757576,0.530397930630572,1001.0,1
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,drop,lob,mid,back,1,4,5,False,False,0.24619199433227063,0.4790049542739968,695.0,0
AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals|set1.csv,lob,smash,back,back,1,4,6,False,False,0.2650767127449491,0.5411252123237541,1745.0,1
